claim_id	section	claim_text	evidence_type	evidence_path	anchor_or_command	status
C000	top	Revision batch cli_20260917_004456; evidence mapping and data-access logs recorded	literal	validation_Sparse_regvelo/SAVI/B_revised_manuscript.md	line 6: Revision batch header	confirmed
C001	Abstract	Atlas: 74,984-cell Alzheimer's disease microglial atlas from a 5xFAD mouse model	calc	/mnt/t9/datasets/ad_microglia_fate_landscape_output/06_annotation/adata_annotated.h5ad	python3 anndata.read_h5ad(..., backed='r'); n_obs=74984; genotypes=['5xFAD','5xFAD;Cd28-cKO','control']	confirmed
C002	Abstract	Median residuals 1.7–6.4-fold inside acceptance lines	calc	validation_Sparse_regvelo/results/V1_ode_residual/V1_result.json	residual_s_end.median=3.14e-4 (vs 2e-3 ≈6.4x); residual_u_end.median=8.02e-4 (≈2.5x); residual_v.median=1.17e-3 (≈1.7x)	confirmed
C003	Abstract	CPU/CUDA velocity maximum relative deviation 7.1e-6; per-cell cosine minimum 1.0	literal	validation_Sparse_regvelo/results/V3_cpu_gpu_faithful/V3_result.json	arrays.v.max=7.1275853334290715e-6; v_cosine_min=0.9999999999746119 → rounded to 1.0	confirmed
C004	Abstract	Identical configurations reproduce bit-for-bit	literal	validation_Sparse_regvelo/results/V5_rate_max/logs_adaptive/sparse_regvelo_engine_20260915_092459.json	multiple deterministic reruns; L3 max|Δv|=0.0 per §3.3	confirmed
C005	Abstract	Removing 57 cell-cycle genes lowers median cosine to 0.80 (V7b) or 0.68 without renormalization (V7a)	calc	validation_Sparse_regvelo/results/V7_no_cycling/COMPARE_v7_result.json; validation_Sparse_regvelo/results/V7_no_renorm/COMPARE_v7_result.json	v_cosine.median=0.80198 (V7b); v_cosine.median=0.67965 (V7a)	confirmed
C006	Abstract	Rate bound decisive: cosine 0.386/0.699 for rate_max=20/100 vs adaptive 107.31	literal	validation_Sparse_regvelo/results/V5_rate_max/compare_manual_vs_adaptive.log	[CMP] l3_r20 cosine median=0.38587; l3_r100 cosine median=0.69885	confirmed
C007	Abstract	GRN weighting monotonic magnitude change 5.5–8.9% median relative-L2 for −35%/−57% total weight; direction cosine median ≥0.9965	calc	validation_Sparse_regvelo/results/V6_grn_tiered/COMPARE_result.json	mild v_rel_l2.median=0.0547 (5.47%); aggressive v_rel_l2.median=0.0886 (8.86%); mild v_cosine.median=0.99865; aggressive v_cosine.median=0.99650	confirmed
C008	Abstract	K neutral (cosine ≈1.0)	literal	validation_Sparse_regvelo/results/V8_K_sensitivity/COMPARE_result.json	l3_K10 v_cosine.median=0.9999993; l3_K20 v_cosine.median=0.99999997	confirmed
C009	Abstract	Iteration sweep median falls ~28-fold at K=20; median per-cell cosine ≥0.999999	calc	validation_Sparse_regvelo/results/V1_iteration_sweep/V1_iter_sweep.json	decomposition.K10_tol0.001 v_rel.median=1.195e-3; decomposition.K20_tol0.001 v_rel.median=4.196e-5 (ratio≈28.5); all v_cosine_median≥0.999999	confirmed
